OriginalName,SpellChange
Ligia pallassii,Ligia pallasii
Arctitalitus sylvaticus,Arcitalitrus sylvaticus
Spongovostox apicedentatus,Spongovostox
Patapus spinosus,Patapius spinosus
Amblyopone pallidus,Amblyopone pallipes
Monomorium egratogyna,Monomorium ergatogyna
Tatramorium caespitum,Tetramorium caespitum
Tatramorium caespitum,Tetramonium caespitum
Orchesellidae,Orchesellinae
Tetramonium caespitum,Tetramorium caespitum
Tulbergiidae,Tullbergiidae
Sminthurididiae,Sminthurididae
Laemophloeidea,Laemophloeidae
Ochodaeida,Ochodaeidae
Clastropteridae,Clastopteridae
Scutellaridae,Scutelleridae
Myrmecinae,Myrmeciinae
Myrmecosystus,Myrmecocystus
Hahnidae,Hahniidae
Arctitalitus,Arcitalitrus
Patapus,Patapius
CybocephalidaeÂ ,Cybocephalidae
