input,taxid,taxon,tax_rank,tax_division,parentid,parentname,taxonrep,specimenrecords,representitive_image.image,representitive_image.apectratio
Trogossitidae,111677,Trogossitidae,family,Animalia,413,Coleoptera,Trogossitidae,483,PLLBF/BIOUG51775-B08+1595594180.jpg,1.333
Anamorphidae,889436,Anamorphidae,family,Animalia,413,Coleoptera,Anamorphidae,445,GMGAD/BIOUG32202-A10+1501522832.jpg,1.333
Bothrideridae,165879,Bothrideridae,family,Animalia,413,Coleoptera,Bothrideridae,281,JICCS/BIOUG29771-C08+1466014298.jpg,1.333
Coccinellidae,1037,Coccinellidae,family,Animalia,413,Coleoptera,Coccinellidae,37336,GMBCA/BIOUG21490-C03+1439392990.jpg,1.339
Corylophidae,167368,Corylophidae,family,Animalia,413,Coleoptera,Corylophidae,8266,CNPPE/BIOUG03515-C06+1375460612.jpg,1.342
Endomychidae,167251,Endomychidae,family,Animalia,413,Coleoptera,Endomychidae,1635,SMTPC/bioug05512-a04+1368715306.jpg,1.333
Latridiidae,167392,Latridiidae,family,Animalia,413,Coleoptera,Latridiidae,12454,COLFA/ccdb-06277-030+1272995084.JPG,1.499
Mycetaeidae,942896,Mycetaeidae,family,Animalia,413,Coleoptera,NA,23,NLCOC/RMNH.INS.543260+1445585874.jpg,1.336
Biphyllidae,318219,Biphyllidae,family,Animalia,413,Coleoptera,Biphyllidae,477,JICCA/BIOUG28638-E07+1468954064.jpg,1.333
Byturidae,310193,Byturidae,family,Animalia,413,Coleoptera,NA,156,JSCOL/bioug00971-b01+1311880672.JPG,1.333
Cerylonidae,167596,Cerylonidae,family,Animalia,413,Coleoptera,Cerylonidae,251,CNCCI/CNC_COLEO_00160046+1348578180.jpg,1.333
Cryptophagidae,87538,Cryptophagidae,family,Animalia,413,Coleoptera,Cryptophagidae,3055,GMOLH/BIOUG23568-F03+1461682952.jpg,1.333
Cucujidae,160636,Cucujidae,family,Animalia,413,Coleoptera,Cucujidae,333,BLIRU/BIOUG30585-A03+1470928514.jpg,1.336
Erotylidae,167382,Erotylidae,family,Animalia,413,Coleoptera,Erotylidae,5307,USCOL/IMG_5079+1250517856.JPG,1.499
Kateretidae,167365,Kateretidae,family,Animalia,413,Coleoptera,Kateretidae,309,NLCOD/RMNH.INS.555844_dor+1445590942.jpg,1.336
Monotomidae,167581,Monotomidae,family,Animalia,413,Coleoptera,Monotomidae,1230,GMHND/BIOUG25836-D03+1470936886.jpg,1.333
Nitidulidae,1095,Nitidulidae,family,Animalia,413,Coleoptera,Nitidulidae,11227,JSCOL/bioug00990-d07+1314800428.jpg,1.336
Passandridae,491609,Passandridae,family,Animalia,413,Coleoptera,Passandridae,54,CNCCT/BIOUG32074-C04+1489695018.jpg,1.333
Phalacridae,167777,Phalacridae,family,Animalia,413,Coleoptera,Phalacridae,5276,GMIAB/BIOUG32213-F05+1501613040.jpg,1.331
Silvanidae,87544,Silvanidae,family,Animalia,413,Coleoptera,Silvanidae,1719,COLFA/ZMUO.000392+1328558896.JPG,1.499
Smicripidae,530106,Smicripidae,family,Animalia,413,Coleoptera,NA,339,JICBK/BIOUG28822-E04+1468955148.jpg,1.333
Sphindidae,167268,Sphindidae,family,Animalia,413,Coleoptera,Sphindidae,348,CNRMD/bioug03006-h05+1370884906.jpg,1.333
Anthribidae,168735,Anthribidae,family,Animalia,413,Coleoptera,Anthribidae,5283,USCOB/09bbcol-1339+1272027594.JPG,1.333
Attelabidae,181243,Attelabidae,family,Animalia,413,Coleoptera,Attelabidae,1332,CNC/CNC_COLEO00109840+1308597930.JPG,1.499
Brentidae,1052,Brentidae,family,Animalia,413,Coleoptera,Brentidae,10802,CNCCJ/cnc_coleo_00160275+1363024544.jpg,1.404
Curculionidae,1752,Curculionidae,family,Animalia,413,Coleoptera,Curculionidae,106252,BBCCN/10pccol-0158+1290090882.jpg,1.336
Nemonychidae,211306,Nemonychidae,family,Animalia,413,Coleoptera,Nemonychidae,28,GMHKE/BIOUG19618-G03+1458764456.jpg,1.333
Dascillidae,167233,Dascillidae,family,Animalia,413,Coleoptera,Dascillidae,53,SDRAP/BIOUG16362-D08+1423101600.jpg,1.333
Rhipiceridae,306011,Rhipiceridae,family,Animalia,413,Coleoptera,Rhipiceridae,26,MHMYR/11-SRNP-13989-DHJ560645+1343248198.jpg,0.573
Derodontidae,90125,Derodontidae,family,Animalia,413,Coleoptera,NA,1359,CNCCI/CNC_COLEO_00160221+1348584592.jpg,1.333
Artematopodidae,379944,Artematopodidae,family,Animalia,413,Coleoptera,Artematopodidae,219,CNCCH/CNC_COLEO_00152781+1348237746.JPG,1.499
Brachypsectridae,530054,Brachypsectridae,family,Animalia,413,Coleoptera,Brachypsectridae,2,RARFA/CCDB-29473-F02+1519158814.jpg,1.333
Cantharidae,1131,Cantharidae,family,Animalia,413,Coleoptera,Cantharidae,13127,CNWLE/BIOUG03377-B08+1374863278.jpg,1.333
Cerophytidae,103775,Cerophytidae,family,Animalia,413,Coleoptera,Cerophytidae,106,FBCOD/BC_ZSM_COL_02831+1311769412.jpg,1.348
Elateridae,1083,Elateridae,family,Animalia,413,Coleoptera,Elateridae,29717,CRCEC/BIOUG77741-C07+1655220544.jpg,1.333
Eucnemidae,103772,Eucnemidae,family,Animalia,413,Coleoptera,Eucnemidae,4758,RRMFI/BIOUG23320-B07+1438873588.jpg,1.333
Lampyridae,1104,Lampyridae,family,Animalia,413,Coleoptera,Lampyridae,8680,CNCCH/CNC_COLEO_00152807+1348238796.JPG,1.499
Lycidae,1112,Lycidae,family,Animalia,413,Coleoptera,Lycidae,7118,USCOL/IMG_8365+1250520752.JPG,1.499
Omethidae,167164,Omethidae,family,Animalia,413,Coleoptera,Omethidae,261,BBCCA/BIOUG02328-G01+1357309236.jpg,1.333
Phengodidae,103515,Phengodidae,family,Animalia,413,Coleoptera,Phengodidae,2921,NBINS/CCDB-28227-C10+1523991244.JPG,1.333
Throscidae,103769,Throscidae,family,Animalia,413,Coleoptera,Throscidae,15799,ASCMT/BIOUG00828-A03+1306334792.jpg,1.333
Histeridae,80462,Histeridae,family,Animalia,413,Coleoptera,Histeridae,2706,NLCOB/RMNH_INS_536191_dor+1338930158.jpg,1.336
Sphaeritidae,82597,Sphaeritidae,family,Animalia,413,Coleoptera,NA,24,CNCCT/BIOUG32074-C08+1489695074.jpg,1.333
Hydrophilidae,80459,Hydrophilidae,family,Animalia,413,Coleoptera,Hydrophilidae,9262,NLCOB/RMNH_INS_536319_dor+1340121222.jpg,1.336
Diphyllostomatidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geotrupidae,898,Geotrupidae,family,Animalia,413,Coleoptera,Geotrupidae,953,HPPPJ/BIOUG07819-G10+1407862600.jpg,1.333
Glaphyridae,165372,Glaphyridae,family,Animalia,413,Coleoptera,NA,203,CNCCT/BIOUG32074-C10+1489765444.jpg,1.333
Glaresidae,372523,Glaresidae,family,Animalia,413,Coleoptera,NA,32,BBCCA/BIOUG02309-A03+1491486484.jpg,1.333
Hybosoridae,1136,Hybosoridae,family,Animalia,413,Coleoptera,Hybosoridae,1183,PLABD/BIOUG48949-A12+1592601812.jpg,1.333
Lucanidae,1063,Lucanidae,family,Animalia,413,Coleoptera,Lucanidae,3076,ASCMT/ascmt-174+1304432420.JPG,1.333
Pleocomidae,1117,Pleocomidae,family,Animalia,413,Coleoptera,NA,9,ASBTL/Img_AS410.jpg,1.25
Scarabaeidae,1754,Scarabaeidae,family,Animalia,413,Coleoptera,Scarabaeidae,45842,CNCCB/CNC_COLEO_00119844+1308856716.JPG,1.499
Trogidae,1114,Trogidae,family,Animalia,413,Coleoptera,Trogidae,316,USCOL/IMG_8442+1250274856.JPG,1.499
Clambidae,167703,Clambidae,family,Animalia,413,Coleoptera,Clambidae,288,SMTPM/BIOUG22055-D07+1450124966.jpg,1.333
Eucinetidae,167238,Eucinetidae,family,Animalia,413,Coleoptera,Eucinetidae,447,COLFH/ZMUO.028788+1468868700.JPG,0.718
Scirtidae,111678,Scirtidae,family,Animalia,413,Coleoptera,Scirtidae,9211,JSCOL/bioug00971-b09+1311881900.JPG,1.333
Agyrtidae,384691,Agyrtidae,family,Animalia,413,Coleoptera,Agyrtidae,58,CNBFP/BIOUG20757-F05+1435848878.jpg,1.333
Hydraenidae,167341,Hydraenidae,family,Animalia,413,Coleoptera,Hydraenidae,2874,SMTPC/BIOUG05586-D09+1369152752.jpg,1.333
Leiodidae,75123,Leiodidae,family,Animalia,413,Coleoptera,Leiodidae,5541,RRMFD/BIOUG22325-C01+1437507756.jpg,1.342
Ptiliidae,166090,Ptiliidae,family,Animalia,413,Coleoptera,Ptiliidae,3044,GMGAC/BIOUG25159-F11+1503925648.jpg,1.333
Scydmaenidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Silphidae,1078,Silphidae,family,Animalia,413,Coleoptera,Silphidae,1890,COLFA/IMG_4148+1272983532.JPG,1.499
Staphylinidae,831,Staphylinidae,family,Animalia,413,Coleoptera,Staphylinidae,99273,CNCCJ/cnc_coleo_00162788+1384453810.jpg,1.333
Aderidae,167375,Aderidae,family,Animalia,413,Coleoptera,Aderidae,5128,MCCAA/BIOUG02155-G01+1377187280.jpg,1.342
Anthicidae,167319,Anthicidae,family,Animalia,413,Coleoptera,Anthicidae,4798,NGNAQ/BIOUG10486-H08+1418317096.jpg,1.333
Boridae,471581,Boridae,family,Animalia,413,Coleoptera,NA,19,CNCCI/CNC_COLEO_00160684+1348592532.JPG,1.499
Ciidae,111680,Ciidae,family,Animalia,413,Coleoptera,Ciidae,1497,MPCAN/BIOUG33358-G07+1505319510.jpg,1.342
Melandryidae,1088,Melandryidae,family,Animalia,413,Coleoptera,Melandryidae,1928,LYMAC/CCDB-28942-A04+1448376124.jpg,1.333
Meloidae,167257,Meloidae,family,Animalia,413,Coleoptera,Meloidae,3052,COLNF/CCDB-22970-D06+1420832164.jpg,0.75
Mordellidae,110342,Mordellidae,family,Animalia,413,Coleoptera,Mordellidae,18469,CNROG/BIOUG08676-A02+1410894524.jpg,1.333
Mycetophagidae,83960,Mycetophagidae,family,Animalia,413,Coleoptera,Mycetophagidae,2373,SDRVF/BIOUG10157-H07+1503589692.jpg,1.333
Oedemeridae,91012,Oedemeridae,family,Animalia,413,Coleoptera,Oedemeridae,2262,GMHGM/BIOUG08352-H03+1406216548.jpg,1.333
Prostomidae,405310,Prostomidae,family,Animalia,413,Coleoptera,NA,21,NA,NA
Pyrochroidae,1166,Pyrochroidae,family,Animalia,413,Coleoptera,Pyrochroidae,584,COLNF/CCDB-22969-E05+1420571926.jpg,1.333
Pythidae,286792,Pythidae,family,Animalia,413,Coleoptera,NA,97,SSBRC/BIOUG13482-H01+1424280876.jpg,1.333
Ripiphoridae,353324,Ripiphoridae,family,Animalia,413,Coleoptera,Ripiphoridae,256,GMBCB/BIOUG21670-C11+1473341750.jpg,1.333
Salpingidae,167248,Salpingidae,family,Animalia,413,Coleoptera,Salpingidae,938,GMNZS/BIOUG15547-E04+1469211428.jpg,1.333
Scraptiidae,310216,Scraptiidae,family,Animalia,413,Coleoptera,Scraptiidae,10938,CNPED/BIOUG10374-A09+1441900552.jpg,1.339
Stenotrachelidae,181238,Stenotrachelidae,family,Animalia,413,Coleoptera,NA,165,COLFC/ZMUO.003036+1335376330.JPG,0.624
Tenebrionidae,1122,Tenebrionidae,family,Animalia,413,Coleoptera,Tenebrionidae,17438,USCOC/IMG_4122+1279900446.jpg,1.499
Tetratomidae,167245,Tetratomidae,family,Animalia,413,Coleoptera,Tetratomidae,297,ASALC/BIOUG06758-C02+1375800932.jpg,1.339
Zopheridae,155773,Zopheridae,family,Animalia,413,Coleoptera,Zopheridae,2841,JMBET/JMCA-1091-D+1454182044.jpg,0.726
Ozognathus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ptinus,237074,Ptinus,genus,Animalia,996892,Ptinini,Ptinus,368,CNCCJ/cnc_coleo_00252072+1394036112.JPG,1.34
Cartodere,309453,Cartodere,genus,Animalia,286633,Latridiinae,Cartodere,712,COAS/bioug02352-b09+1357750048.jpg,1.333
Stephostethus,286634,Stephostethus,genus,Animalia,286633,Latridiinae,Stephostethus,245,PHCOL/bioug01144-c07+1324419954.JPG,1.333
Berginus,312175,Berginus,genus,Animalia,642931,Bergininae,Berginus,30,GBCOC/GBOL_Col_FK_1919+1343851594.jpg,1.506
Prostomis,405311,Prostomis,genus,Animalia,405310,Prostomidae,NA,20,CNCCT/BIOUG32074-C05+1489695036.jpg,1.333
Anchomma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaudes,932829,Alaudes,genus,Animalia,1126156,Cnemeplatiini,Alaudes,2,BNLL/CaS-A5-O1-PT-1_-_dorsal+1638751476.jpg,0.924
Eleodes,382215,Eleodes,genus,Animalia,1126183,Amphidorini,Eleodes,555,BBCCA/IMG_8762+1332939030.jpg,1.499
Heterosilpha,397937,Heterosilpha,genus,Animalia,286741,Silphinae,NA,14,BBCCM/IMG_3029+1291307356.jpg,1.499
Sanfilippodytes,172625,Sanfilippodytes,genus,Animalia,915049,Hydroporini,NA,105,UAMU/UAM100328820-2014-03-14-dorsal[25x]+1394833952.jpg,1.333
Prolixocupes,312905,Prolixocupes,genus,Animalia,312904,Cupedinae,NA,1,USCOL/IMG_5083+1250281658.JPG,1.499
Ozognathus cornutus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berginus pumilus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prostomis americanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchomma costatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaudes singularis,946488,Alaudes singularis,species,Animalia,932829,Alaudes,NA,1,NA,NA
Heterosilpha ramosa,591036,Heterosilpha ramosa,species,Animalia,397937,Heterosilpha,Heterosilpha ramosa,13,BBCCM/IMG_3029+1291307356.jpg,1.499
Prolixocupes lobiceps,312906,Prolixocupes lobiceps,species,Animalia,312905,Prolixocupes,Prolixocupes lobiceps,1,USCOL/IMG_5083+1250281658.JPG,1.499
Diguetia,25663,Diguetia,genus,Animalia,25662,Diguetidae,Diguetia,6,NA,NA
Homalonychus,26386,Homalonychus,genus,Animalia,26385,Homalonychidae,NA,24,BBUSA/BBUSA10-03-F09+1279570368.JPG,1.333
Hypochilus,4474,Hypochilus,genus,Animalia,1387,Hypochilidae,NA,24,NA,NA
Calisoga,289889,Calisoga,genus,Animalia,286970,Nemesiidae,NA,197,NA,NA
Pimoa,5213,Pimoa,genus,Animalia,1429,Pimoidae,NA,299,UAMIC/2013-05-19-UAM100050751-Pimoa-altioculata-lateral[7.1x]+1369079200.jpg,1.333
Scytodes,211660,Scytodes,genus,Animalia,211659,Scytodidae,Scytodes,1141,SDRBL/BIOUG26059-H03+1452875164.jpg,1.333
Selenops,298928,Selenops,genus,Animalia,289626,Selenopidae,Selenops,1091,ASSPI/BIOUG02685-H08+1345216384.jpg,1.25
Loxosceles,211648,Loxosceles,genus,Animalia,211647,Sicariidae,Loxosceles,1318,BBUSA/CCDB-08512-E05+1282250984.JPG,1.333
Usofila,293589,Usofila,genus,Animalia,289636,Telemidae,NA,45,ARBCM/BIUG07164-E03+1376358028.JPG,1.333
Titanoeca,299663,Titanoeca,genus,Animalia,289623,Titanoecidae,Titanoeca,140,ARBCM/CCDB-28549-G01+1449459682.JPG,1.333
Trogloraptor,797376,Trogloraptor,genus,Animalia,797375,Trogloraptoridae,NA,2,NA,NA
Trogloraptor marchingtoni,797378,Trogloraptor marchingtoni,species,Animalia,797376,Trogloraptor,NA,1,NA,NA
Anisolabididae,531562,Anisolabididae,family,Animalia,160573,Dermaptera,Anisolabididae,273,CRALA/BIOUG70352-E07+1661880556.jpg,1.333
Chelisochidae,531809,Chelisochidae,family,Animalia,160573,Dermaptera,Chelisochidae,30,RARFA/CCDB-29473-H11+1519237914.jpg,1.499
Forficulidae,174659,Forficulidae,family,Animalia,160573,Dermaptera,Forficulidae,2552,PHSEP/BIOUG01383-H06+1407862012.jpg,1.333
Labiduridae,165727,Labiduridae,family,Animalia,160573,Dermaptera,Labiduridae,385,PLECC/BIOUG56924-G11+1609883152.jpg,1.333
Spongiphoridae,209110,Spongiphoridae,family,Animalia,160573,Dermaptera,Spongiphoridae,208,CNCSO/BIOUG10948-G05+1415902612.jpg,1.394
Anisolabis,237149,Anisolabis,genus,Animalia,719490,Anisolabidinae,Anisolabis,71,TTSOW/IMG_0097+1265212548.JPG,1.499
Euborellia,209121,Euborellia,genus,Animalia,719490,Anisolabidinae,Euborellia,125,CNCSO/BIOUG10948-C07+1415896008.JPG,1.5
Chelisoches,346639,Chelisoches,genus,Animalia,346638,Chelisochinae,NA,12,RARFA/CCDB-29473-H10+1519237700.jpg,1.499
Doru,209117,Doru,genus,Animalia,209109,Forficulinae,NA,26,TTSOW/IMG_8008+1285170478.jpg,1.499
Forficula,174660,Forficula,genus,Animalia,209109,Forficulinae,Forficula,1896,PHSEP/BIOUG01383-H06+1407862012.jpg,1.333
Labidura,165728,Labidura,genus,Animalia,209128,Labidurinae,Labidura,73,FHDER/CCDB-28977-B08+1454456072.JPG,1.333
Labia,493496,Labia,genus,Animalia,493495,Labiinae,NA,35,CNCSO/BIOUG10948-G05+1415902612.jpg,1.394
Marava,706441,Marava,genus,Animalia,719489,Spongiphorinae,Marava,11,DEBUA/BIOUG44550-C12+1545246538.JPG,1.499
Spongovostox,659316,Spongovostox,genus,Animalia,719489,Spongiphorinae,NA,3,CNCSO/BIOUG10947-A07+1416412966.jpg,1.333
Anisolabis maritima,237150,Anisolabis maritima,species,Animalia,237149,Anisolabis,Anisolabis maritima,25,INRMA/IMG_0948+1345221962.jpg,1.499
Euborellia annulipes,209122,Euborellia annulipes,species,Animalia,209121,Euborellia,Euborellia annulipes,16,TTSOW/IMG_0101+1265212602.JPG,1.499
Euborellia cincticollis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chelisoches morio,346640,Chelisoches morio,species,Animalia,346639,Chelisoches,Chelisoches morio,11,RARFA/CCDB-29473-H10+1519237700.jpg,1.499
Doru lineare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Forficula auricularia,174662,Forficula auricularia,species,Animalia,174660,Forficula,Forficula auricularia,357,LEFIJ/ZMUO.029635+1493911326.JPG,0.626
Labidura riparia,165729,Labidura riparia,species,Animalia,165728,Labidura,Labidura riparia,59,FHDER/CCDB-28977-B08+1454456072.JPG,1.333
Labia minor,493497,Labia minor,species,Animalia,493496,Labia,Labia minor,33,CNCSO/BIOUG10948-G05+1415902612.jpg,1.394
Marava arachidis,893392,Marava arachidis,species,Animalia,706441,Marava,Marava arachidis,4,DEBUA/BIOUG44550-C12+1545246538.JPG,1.499
Marava pulchella,706442,Marava pulchella,species,Animalia,706441,Marava,NA,4,NA,NA
Aphrophoridae,1272,Aphrophoridae,family,Animalia,133,Hemiptera,Aphrophoridae,4344,AHCNC/CNCHEM402220+1333027068.JPG,1.499
Cercopidae,71366,Cercopidae,family,Animalia,133,Hemiptera,Cercopidae,1780,AHCNC/CNC%23HEM_305421+1371664536.jpg,1.529
Cicadidae,1289,Cicadidae,family,Animalia,133,Hemiptera,Cicadidae,6791,ANHM/11ANIC_16619+1304301046.JPG,1.499
Cixiidae,160797,Cixiidae,family,Animalia,133,Hemiptera,Cixiidae,8365,OPPQE/BIOUG34038-E09+1512763962.jpg,1.342
Delphacidae,168666,Delphacidae,family,Animalia,133,Hemiptera,Delphacidae,11961,PHMTT/10PHMAL-1637+1308769970.JPG,1.322
Acanaloniidae,198173,Acanaloniidae,family,Animalia,133,Hemiptera,Acanaloniidae,2711,USHEM/10bbhem-520+1289485432.jpg,1.333
Achilidae,56267,Achilidae,family,Animalia,133,Hemiptera,Achilidae,1946,CNCHG/cnc%23hem_405823+1344606642.jpg,1.333
Caliscelidae,208692,Caliscelidae,family,Animalia,133,Hemiptera,Caliscelidae,326,BBHCN/10bbchem-0406+1291393194.jpg,1.333
Derbidae,177918,Derbidae,family,Animalia,133,Hemiptera,Derbidae,2749,PLECY/BIOUG55398-E09+1609806650.jpg,1.333
Dictyopharidae,208607,Dictyopharidae,family,Animalia,133,Hemiptera,Dictyopharidae,521,OUENT/IMG_4164+1242620930.JPG,1.499
Flatidae,77281,Flatidae,family,Animalia,133,Hemiptera,Flatidae,8301,BBHEM/IMG_2846+1248190182.JPG,1.499
Fulgoridae,177898,Fulgoridae,family,Animalia,133,Hemiptera,Fulgoridae,1870,CNCHC/CNC%23HEM401749+1307995760.JPG,1.499
Issidae,77277,Issidae,family,Animalia,133,Hemiptera,Issidae,8496,GMCRB/BIOUG05463-H03+1500569658.jpg,1.333
Kinnaridae,489300,Kinnaridae,family,Animalia,133,Hemiptera,Kinnaridae,459,CRBLA/BIOUG78472-F09+1682277740.jpg,1.333
Tropiduchidae,249116,Tropiduchidae,family,Animalia,133,Hemiptera,Tropiduchidae,7463,GMSAE/BIOUG09132-A12+1436791790.jpg,1.342
Cicadellidae,26328,Cicadellidae,family,Animalia,133,Hemiptera,Cicadellidae,218517,CNCHB/CNC%23HEM401090+1306851816.JPG,1.499
Membracidae,1163,Membracidae,family,Animalia,133,Hemiptera,Membracidae,4701,BBHMA/IMG_0250+1332934286.jpg,1.499
Aradidae,199896,Aradidae,family,Animalia,133,Hemiptera,Aradidae,1851,ARAEH/bioug02095-e10+1332773288.jpg,1.333
Anthocoridae,1328,Anthocoridae,family,Animalia,133,Hemiptera,Anthocoridae,3897,BBHMA/BIOUG02286-C01+1354206258.jpg,1.333
Lasiochilidae,373776,Lasiochilidae,family,Animalia,133,Hemiptera,Lasiochilidae,131,HELEN/014666325_Lateral+1675739314.jpg,1.5
Lyctocoridae,373753,Lyctocoridae,family,Animalia,133,Hemiptera,NA,41,CNCHA/cnc%23hem302216+1305662400.jpg,1.333
Alydidae,170941,Alydidae,family,Animalia,133,Hemiptera,Alydidae,1690,GCQT/gvcT08883+1489693000.jpg,1.333
Coreidae,87528,Coreidae,family,Animalia,133,Hemiptera,Coreidae,3816,FBHET/BC_ZSM_HETA_0939+1344007020.JPG,1.333
Rhopalidae,160808,Rhopalidae,family,Animalia,133,Hemiptera,Rhopalidae,1807,BBHMA/bioug02053-f10+1346243374.jpg,1.333
Corixidae,160798,Corixidae,family,Animalia,133,Hemiptera,Corixidae,3528,TRDHR/TRD-HET40+1422375212.jpg,1.333
Gerridae,90114,Gerridae,family,Animalia,133,Hemiptera,Gerridae,4176,GEINV/Kash150807Xx2673+1461936026.jpg,1.333
Veliidae,198439,Veliidae,family,Animalia,133,Hemiptera,Veliidae,1212,CNCHB/CNC%23HEM302917+1307127042.JPG,1.502
Hebridae,198473,Hebridae,family,Animalia,133,Hemiptera,Hebridae,123,HEMFI/TR00306+1433532274.JPG,0.754
Hydrometridae,198446,Hydrometridae,family,Animalia,133,Hemiptera,Hydrometridae,178,FBAQU/BCZSMAQU00705+1277828194.JPG,0.602
